numeropedido,data emissao,data entrega prevista,data entrada,codigofornecedor,fornecedor,cidade fornecedor,total itens,valor bruto total itens,situacao pedido,usuario,prazo,codigoprodutoitem,descricao produto,qtd pedido item,qtd bonificacao item,qtd pendente item,preco unitario item,qtd falta item,qtd faturada item,valor desconto item,valor bruto item,valor liquido item,preco unitario liquido item,tipo produto,mes,ano,status pedido,tipo fornecedor
183,11/04/2025,25/04/2025,30/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,5,11867.92,fechado pedido chegou,NATALIA,30/45/60,72,LAMINA DE BISTURI N.21 UN,50,0,0,20.91,50.0,0,0.0,1045.63,1100.0,20.91,MATERIAL HOSPITALAR,4,2025,recebido,externo
52,17/02/2025,01/03/2025,27/02/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,28,119478.1,fechado pedido chegou,WARLEY,30/45/60,74,SERINGA DESC. 03ML S/AG LUER SLIP UN,10000,0,0,0.1,10000.0,0,0.0,1000.0,1000.0,0.1,MATERIAL HOSPITALAR,2,2025,recebido,externo
183,11/04/2025,25/04/2025,30/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,5,11867.92,fechado pedido chegou,NATALIA,30/45/60,75,LAMINA DE BISTURI N.23 UN,50,0,0,20.91,50.0,0,0.0,1045.63,1100.0,20.91,MATERIAL HOSPITALAR,4,2025,recebido,externo
53,14/02/2025,03/03/2025,28/02/2025,28,LABOR IMPORT,ITAJAI,4,24470.0,fechado pedido chegou,WARLEY,28/35/42/49,76,COLETOR DE URINA SF 2000ML UN,3000,0,0,2.49,3000.0,0,0.0,7470.0,7470.0,2.49,MATERIAL HOSPITALAR,2,2025,recebido,externo
96,28/03/2025,10/04/2025,14/04/2025,266,HOSPDROGAS,APARECIDA DE GOIANIA,2,124500.0,fechado pedido chegou,WARLEY,28/35/42/49/56,78,"SOL. CLORETO SODIO 0,9% 100ML FR",30000,0,0,2.95,30000.0,0,0.0,88500.0,88500.0,2.95,MEDICAMENTOS,3,2025,recebido,externo
191,02/05/2025,02/05/2025,05/05/2025,14,VALFARMA,FORTALEZA,6,23689.55,fechado pedido chegou,NATALIA,30/45/60,102,CEFTRIAXONA 1G IM/IV UN,1600,0,0,5.7,1600.0,0,0.0,9120.0,9120.0,5.7,MEDICAMENTOS,5,2025,recebido,interno
41,27/01/2025,18/02/2025,20/02/2025,409,STOCK MED,SANTA CRUZ DO SUL,7,69237.6,fechado pedido chegou,WARLEY,28/35/42/49/56/63/70,104,"ENOXAPARINA 20MG/0,2ML (CUTENOX) UN",620,0,0,9.98,620.0,0,0.0,6187.6,6187.6,9.98,MEDICAMENTOS,1,2025,recebido,externo
45,10/02/2025,25/02/2025,21/02/2025,31,HIPOLABOR,MONTES CLAROS,8,68000.0,fechado pedido chegou,WARLEY,45/60/75/90,106,CLINDAMICINA 150MG/ML AMP,1000,0,0,2.6,1000.0,0,0.0,2600.0,2600.0,2.6,MEDICAMENTOS,2,2025,recebido,externo
76,14/03/2025,01/04/2025,04/04/2025,409,STOCK MED,SANTA CRUZ DO SUL,16,184059.0,fechado pedido chegou,WARLEY,30/37/44/51/58/65/72,106,CLINDAMICINA 150MG/ML AMP,5900,0,0,2.6,5900.0,0,0.0,15340.0,15340.0,2.6,MEDICAMENTOS,3,2025,recebido,externo
39,27/01/2025,13/02/2025,10/02/2025,31,HIPOLABOR,MONTES CLAROS,7,36621.5,fechado pedido chegou,WARLEY,30/45/60/75,106,CLINDAMICINA 150MG/ML AMP,2000,0,0,2.6,2000.0,0,0.0,5200.0,5200.0,2.6,MEDICAMENTOS,1,2025,recebido,externo
39,27/01/2025,13/02/2025,10/02/2025,31,HIPOLABOR,MONTES CLAROS,7,36621.5,fechado pedido chegou,WARLEY,30/45/60/75,107,"IPRATROPIO 0,25MG/ML GTS (GEN) FR",1000,0,0,0.9,1000.0,0,0.0,900.0,900.0,0.9,MEDICAMENTOS,1,2025,recebido,externo
20,10/01/2025,30/01/2025,27/01/2025,409,STOCK MED,SANTA CRUZ DO SUL,13,161697.62,fechado pedido chegou,WARLEY,25/32/39/46/53/60/67/74/81,107,"IPRATROPIO 0,25MG/ML GTS (GEN) FR",200,0,0,1.26,200.0,0,0.0,252.0,252.0,1.26,MEDICAMENTOS,1,2025,recebido,externo
76,14/03/2025,01/04/2025,04/04/2025,409,STOCK MED,SANTA CRUZ DO SUL,16,184059.0,fechado pedido chegou,WARLEY,30/37/44/51/58/65/72,107,"IPRATROPIO 0,25MG/ML GTS (GEN) FR",1500,0,0,0.93,1500.0,0,0.0,1395.0,1395.0,0.93,MEDICAMENTOS,3,2025,recebido,externo
48,14/02/2025,05/03/2025,27/02/2025,409,STOCK MED,SANTA CRUZ DO SUL,13,38191.9,fechado pedido chegou,WARLEY,28/35/42/49/56,113,MASCARA DESC. TRIPLA C/CLIP UN,500,0,0,3.92,500.0,0,0.0,1960.0,1960.0,3.92,MATERIAL HOSPITALAR,2,2025,recebido,externo
107,02/04/2025,03/04/2025,23/04/2025,207,DINAMICA,FORTALEZA,1,349.5,fechado pedido chegou,NATALIA,30,116,ETILEFRINA 10MG (ETILEFRIL) 1ML AMP,150,0,0,2.33,150.0,0,0.0,349.5,349.5,2.33,MEDICAMENTOS,4,2025,recebido,interno
134,23/04/2025,24/04/2025,28/04/2025,14,VALFARMA,FORTALEZA,5,2603.0,fechado pedido chegou,YAGO,20/30,119,OMEPRAZOL 40MG FA+DIL PO INJ FA,100,0,0,10.4,100.0,0,0.0,1040.0,1040.0,10.4,MEDICAMENTOS,4,2025,recebido,interno
41,27/01/2025,18/02/2025,20/02/2025,409,STOCK MED,SANTA CRUZ DO SUL,7,69237.6,fechado pedido chegou,WARLEY,28/35/42/49/56/63/70,119,OMEPRAZOL 40MG FA+DIL PO INJ FA,2000,0,0,8.19,2000.0,0,0.0,16380.0,16380.0,8.19,MEDICAMENTOS,1,2025,recebido,externo
185,11/04/2025,25/04/2025,30/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,51,132032.52,fechado pedido chegou,NATALIA,30/45/60,123,ALMOTOLIA NATURAL BICO RETO 250ML UND,200,0,0,2.19,200.0,0,0.0,437.22,437.22,2.19,MATERIAL HOSPITALAR,4,2025,recebido,externo
45,10/02/2025,25/02/2025,21/02/2025,31,HIPOLABOR,MONTES CLAROS,8,68000.0,fechado pedido chegou,WARLEY,45/60/75/90,140,BROMOPRIDA 5MG/ML 2ML. AMP,10000,0,0,1.2,10000.0,0,0.0,12000.0,12000.0,1.2,MEDICAMENTOS,2,2025,recebido,externo
81,20/03/2025,13/04/2025,02/04/2025,547,CONQUISTA DIST. MED. E PROD. HOSP. LTDA,BALNEARIO CAMBORIU,5,87200.0,fechado pedido chegou,WARLEY,28/35/42/49,140,BROMOPRIDA 5MG/ML 2ML. AMP,17000,0,0,1.2,17000.0,0,0.0,20400.0,20400.0,1.2,MEDICAMENTOS,3,2025,recebido,externo
80,12/03/2025,25/03/2025,26/03/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,38,121763.64,fechado pedido chegou,WARLEY,30/45/60,152,SONDA URETRAL N.12 UN,3000,0,0,0.6,3000.0,0,0.0,1800.0,1800.0,0.6,MATERIAL HOSPITALAR,3,2025,recebido,externo
185,11/04/2025,25/04/2025,30/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,51,132032.52,fechado pedido chegou,NATALIA,30/45/60,152,SONDA URETRAL N.12 UN,2000,0,0,0.5,2000.0,0,0.0,997.6,997.6,0.5,MATERIAL HOSPITALAR,4,2025,recebido,externo
183,11/04/2025,25/04/2025,30/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,5,11867.92,fechado pedido chegou,NATALIA,30/45/60,153,PLACA TERRA AD REM SKINTACT UN,1500,0,0,5.12,1500.0,0,0.0,7685.4,8085.04,5.12,MATERIAL HOSPITALAR,4,2025,recebido,externo
181,15/04/2025,28/04/2025,30/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,2,21314.0,fechado pedido chegou,NATALIA,30/45/60,153,PLACA TERRA AD REM SKINTACT UN,2500,0,0,5.12,2500.0,0,0.0,12809.0,13475.07,5.12,MATERIAL HOSPITALAR,4,2025,recebido,externo
113,15/04/2025,25/04/2025,28/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,2,16210.93,fechado pedido chegou,NATALIA,30/45/60,153,PLACA TERRA AD REM SKINTACT UN,2500,0,0,5.12,2500.0,0,0.0,12808.93,12808.93,5.12,MATERIAL HOSPITALAR,4,2025,recebido,externo
80,12/03/2025,25/03/2025,26/03/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,38,121763.64,fechado pedido chegou,WARLEY,30/45/60,154,"AGULHA DESC. 20 X 0,55MM UN",10000,0,0,0.07,10000.0,0,0.0,670.0,670.0,0.07,MATERIAL HOSPITALAR,3,2025,recebido,externo
185,11/04/2025,25/04/2025,30/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,51,132032.52,fechado pedido chegou,NATALIA,30/45/60,157,"FITA MICROPORE 50MM X 4,5M RL",1002,0,0,2.37,1002.0,0,0.0,2373.54,2373.54,2.37,MATERIAL HOSPITALAR,4,2025,recebido,externo
29,17/01/2025,30/01/2025,28/01/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,44,151736.09,fechado pedido chegou,WARLEY,30/45/60,158,"FITA MICROPORE 50MM X 4,5M RL",1002,0,0,2.36,1002.0,0,0.0,2364.72,2364.72,2.36,MATERIAL HOSPITALAR,1,2025,recebido,externo
49,11/02/2025,01/03/2025,24/02/2025,416,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,CURITIBA,2,8760.0,fechado pedido chegou,WARLEY,35/42/49,164,METOCLOPRAMIDA INJ 10MG/2ML AMP,4000,0,0,0.69,4000.0,0,0.0,2760.0,2760.0,0.69,MEDICAMENTOS,2,2025,recebido,externo
69,05/03/2025,05/04/2025,18/03/2025,178,MAXI CONFORT,SANTANA DE PARNAIBA,3,14549.36,fechado pedido chegou,WARLEY,42/49/56,165,FRALDA DESC. GERIAT MD C/08 PC PC,504,0,0,8.5,504.0,0,0.0,4284.0,4284.0,8.5,MATERIAL HOSPITALAR,3,2025,recebido,externo
157,11/04/2025,11/04/2025,28/04/2025,14,VALFARMA,FORTALEZA,3,1284.4,fechado pedido chegou,NATALIA,30,171,FIO VICPOINT PLG 1 70CM C/AG 1/2 4.0CM CX,3,0,0,368.2,3.0,0,0.0,1104.6,1104.6,368.2,MATERIAL HOSPITALAR,4,2025,recebido,interno
160,16/04/2025,16/04/2025,28/04/2025,14,VALFARMA,FORTALEZA,43,61064.97,fechado pedido chegou,YAGO,20/30/40/50/60,177,METRONIDAZOL 5MG/ML INJ 100ML BL,240,0,0,5.4,240.0,0,0.0,1296.0,1296.0,5.4,MEDICAMENTOS,4,2025,recebido,interno
34,13/01/2025,03/02/2025,27/01/2025,547,CONQUISTA DIST. MED. E PROD. HOSP. LTDA,BALNEARIO CAMBORIU,7,31824.0,fechado pedido chegou,WARLEY,28/35/42,179,BROMOPRIDA 5MG/ML 2ML. AMP,3500,0,0,1.46,3500.0,0,0.0,5110.0,5110.0,1.46,MEDICAMENTOS,1,2025,recebido,externo
191,02/05/2025,02/05/2025,05/05/2025,14,VALFARMA,FORTALEZA,6,23689.55,fechado pedido chegou,NATALIA,30/45/60,179,BROMOPRIDA 5MG/ML 2ML. AMP,1600,0,0,1.6,1600.0,0,0.0,2560.0,2560.0,1.6,MEDICAMENTOS,5,2025,recebido,interno
40,28/01/2025,18/02/2025,11/02/2025,416,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,CURITIBA,5,31115.0,fechado pedido chegou,WARLEY,28/35/42,180,CEFTRIAXONA 1G. AMP,2000,0,0,4.15,2000.0,0,0.0,8300.0,8300.0,4.15,MEDICAMENTOS,1,2025,recebido,externo
76,14/03/2025,01/04/2025,04/04/2025,409,STOCK MED,SANTA CRUZ DO SUL,16,184059.0,fechado pedido chegou,WARLEY,30/37/44/51/58/65/72,180,CEFTRIAXONA 1G. AMP,2000,0,0,4.5,2000.0,0,0.0,9000.0,9000.0,4.5,MEDICAMENTOS,3,2025,recebido,externo
44,31/01/2025,20/02/2025,11/02/2025,57,MEDSONDA,FOZ DO IGUACU,10,3845.5,fechado pedido chegou,WARLEY,28/35/42,184,SONDA URETRAL N.12 UN,2000,0,0,0.48,2000.0,0,0.0,960.0,960.0,0.48,MATERIAL HOSPITALAR,1,2025,recebido,externo
44,31/01/2025,20/02/2025,11/02/2025,57,MEDSONDA,FOZ DO IGUACU,10,3845.5,fechado pedido chegou,WARLEY,28/35/42,190,SONDA NASOGASTRICA LONGA N.10 UN,100,0,0,0.46,100.0,0,0.0,46.0,46.0,0.46,MATERIAL HOSPITALAR,1,2025,recebido,externo
44,31/01/2025,20/02/2025,11/02/2025,57,MEDSONDA,FOZ DO IGUACU,10,3845.5,fechado pedido chegou,WARLEY,28/35/42,191,SONDA NASOGASTRICA LONGA N.12 UN,100,0,0,0.49,100.0,0,0.0,49.0,49.0,0.49,MATERIAL HOSPITALAR,1,2025,recebido,externo
29,17/01/2025,30/01/2025,28/01/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,44,151736.09,fechado pedido chegou,WARLEY,30/45/60,195,"AGULHA DESC. 20 X 0,55MM UN",5000,0,0,0.06,5000.0,0,0.0,325.0,325.0,0.06,MATERIAL HOSPITALAR,1,2025,recebido,externo
191,02/05/2025,02/05/2025,05/05/2025,14,VALFARMA,FORTALEZA,6,23689.55,fechado pedido chegou,NATALIA,30/45/60,200,CATETER INTRAVENOSO C/DISP SEG 22G. UN,500,0,0,2.68,500.0,0,0.0,1338.6,1338.6,2.68,MATERIAL HOSPITALAR,5,2025,recebido,interno
183,11/04/2025,25/04/2025,30/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,5,11867.92,fechado pedido chegou,NATALIA,30/45/60,214,LAMINA DE BISTURI N.15 UN,50,0,0,20.91,50.0,0,0.0,1045.63,1100.0,20.91,MATERIAL HOSPITALAR,4,2025,recebido,externo
29,17/01/2025,30/01/2025,28/01/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,44,151736.09,fechado pedido chegou,WARLEY,30/45/60,214,LAMINA DE BISTURI N.15 UN,400,0,0,20.91,400.0,0,0.0,8364.0,8364.0,20.91,MATERIAL HOSPITALAR,1,2025,recebido,externo
87,19/03/2025,19/04/2025,28/03/2025,65,DESCARBOX,DIADEMA,4,14975.0,fechado pedido chegou,WARLEY,28/35/42/49,229,COLETOR PERFURO CORTANTE 20 LTS UN,100,0,0,5.89,100.0,0,0.0,589.0,589.0,5.89,MATERIAL HOSPITALAR,3,2025,recebido,externo
123,24/04/2025,24/04/2025,28/04/2025,14,VALFARMA,FORTALEZA,5,3989.4,fechado pedido chegou,NATALIA,20/30/40,233,ONDANSETRONA 2MG/ML X 4ML GEN AMP,600,0,0,1.38,600.0,0,0.0,828.0,828.0,1.38,MEDICAMENTOS,4,2025,recebido,interno
50,29/01/2025,15/02/2025,17/02/2025,547,CONQUISTA DIST. MED. E PROD. HOSP. LTDA,BALNEARIO CAMBORIU,7,21590.0,fechado pedido chegou,WARLEY,28/35/42,233,ONDANSETRONA 2MG/ML X 4ML GEN AMP,2000,0,0,0.95,2000.0,0,0.0,1900.0,1900.0,0.95,MEDICAMENTOS,1,2025,recebido,externo
45,10/02/2025,25/02/2025,21/02/2025,31,HIPOLABOR,MONTES CLAROS,8,68000.0,fechado pedido chegou,WARLEY,45/60/75/90,234,ACIDO TRANEXAMICO 250MG/ML AMP 5ML (GEN) AMP,4000,0,0,3.6,4000.0,0,0.0,14400.0,14400.0,3.6,MEDICAMENTOS,2,2025,recebido,externo
76,14/03/2025,01/04/2025,04/04/2025,409,STOCK MED,SANTA CRUZ DO SUL,16,184059.0,fechado pedido chegou,WARLEY,30/37/44/51/58/65/72,234,ACIDO TRANEXAMICO 250MG/ML AMP 5ML (GEN) AMP,7000,0,0,3.6,7000.0,0,0.0,25200.0,25200.0,3.6,MEDICAMENTOS,3,2025,recebido,externo
39,27/01/2025,13/02/2025,10/02/2025,31,HIPOLABOR,MONTES CLAROS,7,36621.5,fechado pedido chegou,WARLEY,30/45/60/75,234,ACIDO TRANEXAMICO 250MG/ML AMP 5ML (GEN) AMP,2000,0,0,3.6,2000.0,0,0.0,7200.0,7200.0,3.6,MEDICAMENTOS,1,2025,recebido,externo
75,12/03/2025,30/03/2025,27/03/2025,547,CONQUISTA DIST. MED. E PROD. HOSP. LTDA,BALNEARIO CAMBORIU,8,120450.0,fechado pedido chegou,WARLEY,30/45/60/75,235,ONDANSETRONA 2MG/ML 2ML GEN AMP,5000,0,0,0.99,5000.0,0,0.0,4950.0,4950.0,0.99,MEDICAMENTOS,3,2025,recebido,externo
160,16/04/2025,16/04/2025,28/04/2025,14,VALFARMA,FORTALEZA,43,61064.97,fechado pedido chegou,YAGO,20/30/40/50/60,245,SONDA FOLEY 2 VIAS N.14 30CC UN,120,0,0,2.63,120.0,0,0.0,315.58,315.58,2.63,MATERIAL HOSPITALAR,4,2025,recebido,interno
96,28/03/2025,10/04/2025,14/04/2025,266,HOSPDROGAS,APARECIDA DE GOIANIA,2,124500.0,fechado pedido chegou,WARLEY,28/35/42/49/56,252,"SOL. CLORETO SODIO 0,9% 250ML FR",10000,0,0,3.6,10000.0,0,0.0,36000.0,36000.0,3.6,MEDICAMENTOS,3,2025,recebido,externo
164,09/04/2025,10/04/2025,28/04/2025,284,BELIEVE,FORTALEZA,8,5212.0,fechado pedido chegou,NATALIA,30/45/60,253,SONDA ASP.TRAQUEAL 06FR UN,100,0,0,0.59,100.0,0,0.0,59.0,59.0,0.59,MATERIAL HOSPITALAR,4,2025,recebido,interno
172,09/04/2025,15/04/2025,29/04/2025,441,MAXXI DISTRIBUIDORA,SENADOR POMPEU,8,8495.7,fechado pedido chegou,NATALIA,30/45,253,SONDA ASP.TRAQUEAL 06FR UN,100,0,0,0.55,100.0,0,0.0,55.0,55.0,0.55,MATERIAL HOSPITALAR,4,2025,recebido,externo
76,14/03/2025,01/04/2025,04/04/2025,409,STOCK MED,SANTA CRUZ DO SUL,16,184059.0,fechado pedido chegou,WARLEY,30/37/44/51/58/65/72,255,"PIPERACILINA+TAZOBACTAM 4,5G FA FR",2975,0,0,20.0,2975.0,0,0.0,59500.0,59500.0,20.0,MEDICAMENTOS,3,2025,recebido,externo
22,10/01/2025,31/01/2025,27/01/2025,490,INOVAMED,ERECHIM,12,35545.8,fechado pedido chegou,WARLEY,28/35/42,258,BENZILPENICILINA BENZATINA (BEPEBEN) 1.200.000UI F/A INJ.  UN UN,3000,0,0,5.79,3000.0,0,0.0,17370.0,17370.0,5.79,MEDICAMENTOS,1,2025,recebido,externo
21,10/01/2025,30/01/2025,27/01/2025,490,INOVAMED,ERECHIM,2,4235.0,fechado pedido chegou,WARLEY,28/35/42,258,BENZILPENICILINA BENZATINA (BEPEBEN) 1.200.000UI F/A INJ.  UN UN,400,0,0,5.9,400.0,0,0.0,2360.0,2360.0,5.9,MEDICAMENTOS,1,2025,recebido,externo
82,17/03/2025,18/03/2025,18/03/2025,441,MAXXI DISTRIBUIDORA,SENADOR POMPEU,7,60737.15,fechado pedido chegou,WARLEY,30/45/60,258,BENZILPENICILINA BENZATINA (BEPEBEN) 1.200.000UI F/A INJ.  UN UN,5390,0,0,5.16,5390.0,0,0.0,27812.4,27812.4,5.16,MEDICAMENTOS,3,2025,recebido,externo
164,09/04/2025,10/04/2025,28/04/2025,284,BELIEVE,FORTALEZA,8,5212.0,fechado pedido chegou,NATALIA,30/45/60,267,LIDOCAINA 2% C/VASO XYLESTESIN INJ.20ML UN,100,0,0,14.44,100.0,0,0.0,1444.0,1444.0,14.44,MEDICAMENTOS,4,2025,recebido,interno
47,10/02/2025,12/03/2025,07/03/2025,8,MEDIX,GARUVA,1,70000.0,fechado pedido chegou,WARLEY,30/45/60/75,273,EQUIPO MACROGOTAS COMPLETO LUER SLIP (POLYBAG) UN,100000,0,0,0.7,100000.0,0,0.0,70000.0,70000.0,0.7,MATERIAL HOSPITALAR,2,2025,recebido,externo
